ƒень;—р.зн.;норма;max;min
1;2.5;3.6;3.3;-4.8
2;2.5;3.7;0.8;-2.0
3;-2.5;3.8;-0.5;-4.2
4;-2.5;3.9;1.8;-3.1
5;2.5;4.0;3.6;-1.7
6;2.5;4.1;2.4;-2.1
7;-3.5;4.2;-3.4;-6.8
8;-3.5;4.3;-2.4;-6.3
9;-2.5;4.4;-0.3;-4.4
10;-1.5;4.5;0.9;-2.8
11;-0.5;4.6;1.1;-3.3
12;0.5;4.7;1.0;-2.2
13;1.5;4.8;2.5;0.4
14;2.5;4.9;4.0;-0.4
15;3.5;5.0;4.3;0.8
16;3.5;5.1;4.3;1.8
17;5.3;5.2;6.3;2.8
18;7.1;5.3;8.0;3.1
19;8.9;5.4;12.1;6.9
20;10.7;5.5;13.1;8.4
21;12.5;5.6;13.6;10.5
22;12.5;5.7;14.5;9.8
23;14.8;5.8;15.2;8.4
24;17.2;5.9;15.8;10.5
25;19.5;6.0;18.3;14.2
26;19.5;6.1;21.4;15.7
27;15.5;6.2;17.0;12.2
28;11.5;6.3;11.8;6.0
29;7.5;6.4;8.6;1.6
30;7.5;6.5;9.8;7.0
