ƒень;—р.зн.;норма;max;min
1;12.5;11.7;11.4;5.8
2;12.5;11.8;15.4;6.6
3;11.8;11.8;12.4;5.7
4;11.0;11.9;13.4;6.7
5;10.3;11.9;12.8;6.7
6;9.5;12.0;13.3;7.6
7;8.8;12.0;11.4;6.5
8;8.0;12.1;12.3;3.4
9;7.3;12.1;10.7;3.3
10;6.5;12.2;7.3;1.2
11;6.5;12.2;8.2;1.0
12;9.5;12.3;11.7;6.4
13;12.5;12.3;12.4;8.4
14;15.5;12.4;14.8;7.4
15;15.5;12.4;16.7;12.4
16;13.8;12.5;13.1;9.1
17;12.2;12.5;12.4;7.6
18;10.5;12.6;10.6;5.6
19;10.5;12.6;11.4;6.5
20;15.5;12.7;14.5;9.4
21;20.5;12.7;19.3;12.6
22;20.5;12.8;21.0;13.7
23;18.0;12.8;18.8;13.9
24;15.5;12.9;16.0;10.2
25;15.5;12.9;20.0;12.6
26;22.5;13.0;23.4;15.9
27;22.5;13.0;22.4;15.5
28;19.0;13.1;21.1;13.1
29;15.5;13.1;16.7;13.3
30;15.5;13.2;15.2;11.0
