ƒень;—р.зн.;норма;max;min
1;12.5;9.5;10.7;2.4
2;12.5;9.6;12.4;1.8
3;11.9;9.8;15.3;2.9
4;11.3;9.9;10.9;3.2
5;10.6;10.1;11.5;4.5
6;10.0;10.2;12.2;3.7
7;9.4;10.4;10.1;6.6
8;8.8;10.5;9.7;0.5
9;8.1;10.7;9.1;-0.4
10;7.5;10.8;8.3;-1.9
11;7.5;11.0;8.8;-0.1
12;9.3;11.1;9.8;3.8
13;11.0;11.3;11.0;4.3
14;12.8;11.4;13.1;6.7
15;14.5;11.6;14.6;6.4
16;14.5;11.7;14.1;9.6
17;11.0;11.9;11.9;8.1
18;7.5;12.0;11.4;4.6
19;7.5;12.2;8.3;5.2
20;12.0;12.3;13.9;5.5
21;16.5;12.5;16.9;11.1
22;16.5;12.6;17.6;9.4
23;14.0;12.8;16.9;10.9
24;11.5;12.9;15.9;9.3
25;11.5;13.1;20.0;13.7
26;17.5;13.2;22.6;16.1
27;23.5;13.4;24.3;16.1
28;23.5;13.5;21.8;17.5
29;21.0;13.7;20.0;12.5
30;18.5;13.8;19.0;11.8
