ƒень;—р.зн.;норма;max;min
1;10.5;7.4;11.0;0.8
2;10.5;7.5;10.6;0.7
3;8.8;7.6;7.6;0.0
4;7.2;7.8;6.0;0.8
5;5.5;7.9;7.7;2.6
6;5.5;8.0;8.0;3.3
7;6.1;8.1;7.2;2.8
8;6.8;8.2;7.0;1.8
9;7.4;8.3;7.6;2.6
10;8.0;8.5;9.1;4.0
11;8.6;8.6;6.9;4.7
12;9.3;8.7;7.0;4.3
13;9.9;8.8;8.9;5.0
14;10.5;8.9;11.0;5.1
15;10.5;9.0;10.2;3.6
16;10.5;9.2;11.1;6.7
17;11.8;9.3;12.8;8.8
18;13.0;9.4;15.8;11.7
19;14.3;9.5;13.5;9.2
20;15.5;9.6;14.3;10.7
21;15.5;9.7;15.8;11.9
22;15.5;9.9;18.9;15.2
23;15.5;10.0;19.0;13.8
24;10.5;10.1;12.9;9.7
25;10.5;10.2;12.4;8.5
26;8.0;10.3;12.8;8.0
27;5.5;10.4;6.5;3.9
28;5.5;10.6;7.3;2.7
29;9.5;10.7;12.2;8.0
30;13.5;10.8;13.2;10.6
