ƒень;—р.зн.;норма;max;min
1;5.5;5.1;5.6;-5.4
2;5.5;5.3;5.3;-4.5
3;3.0;5.5;5.9;-5.5
4;0.5;5.7;4.0;-5.5
5;0.5;5.9;6.3;-5.4
6;6.5;6.1;6.0;-3.7
7;6.5;6.3;6.9;-6.6
8;0.5;6.5;0.2;-7.6
9;0.5;6.7;0.9;-8.8
10;0.5;6.9;0.1;-7.1
11;0.5;7.1;0.4;-8.3
12;3.3;7.3;3.8;-4.5
13;6.0;7.5;8.1;-0.4
14;8.8;7.7;4.7;-1.6
15;11.5;7.9;12.3;2.5
16;11.5;8.0;10.4;0.9
17;9.0;8.2;7.2;-1.0
18;6.5;8.4;6.5;-0.3
19;6.5;8.6;7.6;2.6
20;11.5;8.8;10.4;2.9
21;16.5;9.0;13.9;8.7
22;16.5;9.2;16.5;8.8
23;10.5;9.4;13.5;7.2
24;10.5;9.6;13.1;8.8
25;15.5;9.8;17.7;11.3
26;21.5;10.0;21.6;14.2
27;21.5;10.2;19.4;14.2
28;15.5;10.4;16.5;10.8
29;15.5;10.6;15.3;8.1
30;10.5;10.8;10.9;5.6
