ƒень;—р.зн.;норма;max;min
1;11.9;12.5;15.8;9.0
2;12.3;12.5;15.0;9.4
3;12.0;15.0;14.6;9.3
4;13.7;17.5;15.5;11.8
5;15.5;17.5;18.1;10.9
6;12.1;15.8;14.0;8.9
7;11.0;14.2;12.7;8.2
8;11.5;12.5;14.4;6.5
9;12.8;10.8;15.8;9.4
10;9.5;9.2;13.5;6.9
11;7.4;7.5;14.8;3.8
12;8.4;7.5;11.0;4.3
13;10.2;11.5;13.4;7.4
14;12.2;15.5;16.5;9.0
15;12.2;15.5;15.7;9.2
16;10.5;10.5;12.5;8.5
17;11.8;10.5;15.6;10.1
18;13.4;12.5;15.9;11.9
19;14.2;14.5;16.5;12.4
20;15.6;16.5;19.1;13.2
21;17.4;18.5;19.9;15.0
22;19.7;20.5;21.2;18.3
23;21.5;22.5;23.1;19.6
24;20.0;22.5;22.3;17.9
25;19.6;20.5;21.4;18.6
26;19.2;18.5;23.1;14.5
27;17.2;16.5;19.5;13.8
28;15.1;14.5;19.5;8.7
29;9.9;12.5;12.8;7.4
30;12.2;12.5;16.1;10.3
