ƒень;—р.зн.;норма;max;min
1;14.5;11.4;13.7;9.3
2;14.5;11.5;14.6;9.4
3;13.3;11.6;13.6;8.8
4;12.0;11.6;11.7;8.0
5;10.8;11.7;11.2;7.4
6;9.5;11.8;9.5;6.7
7;9.5;11.9;10.1;7.0
8;14.5;12.0;12.3;5.5
9;14.5;12.0;14.7;9.6
10;12.0;12.1;10.3;7.1
11;9.5;12.2;11.4;8.7
12;9.5;12.3;12.4;8.1
13;11.0;12.4;14.1;10.1
14;12.5;12.4;12.1;9.5
15;14.0;12.5;12.7;9.1
16;15.5;12.6;15.7;10.4
17;15.5;12.7;15.8;12.2
18;18.0;12.7;18.9;13.3
19;20.5;12.8;21.2;11.4
20;20.5;12.9;16.7;12.4
21;20.5;13.0;18.1;14.6
22;20.5;13.1;19.8;15.0
23;18.8;13.1;22.5;12.8
24;17.2;13.2;23.0;12.4
25;15.5;13.3;17.9;8.9
26;13.8;13.4;15.6;11.3
27;12.2;13.5;15.1;10.3
28;10.5;13.5;10.7;8.2
29;10.5;13.6;10.7;7.8
30;13.5;13.7;13.1;10.0
