ƒень;—р.зн.;норма;max;min
1;-1.5;4.2;1.5;-2.7
2;-1.5;4.2;-0.2;-1.6
3;1.0;4.3;0.4;-3.5
4;3.5;4.3;1.8;-1.9
5;3.5;4.4;3.7;-0.5
6;-0.5;4.4;0.6;-1.0
7;-4.5;4.5;-3.8;-5.7
8;-4.5;4.5;-2.1;-4.0
9;-3.2;4.6;1.0;-1.7
10;-1.8;4.6;1.1;-2.1
11;-0.5;4.7;1.4;-1.0
12;0.8;4.7;1.1;-0.7
13;2.2;4.8;1.9;0.7
14;3.5;4.8;4.1;1.8
15;3.5;4.9;3.5;1.7
16;5.8;4.9;4.6;2.8
17;8.0;5.0;6.0;4.1
18;10.3;5.0;8.5;6.1
19;12.5;5.1;12.8;9.4
20;12.5;5.1;13.6;11.5
21;13.5;5.2;13.3;10.9
22;14.5;5.2;13.9;10.6
23;15.5;5.3;14.6;10.4
24;16.5;5.3;16.0;11.9
25;17.5;5.4;16.7;14.2
26;18.5;5.4;19.3;17.8
27;18.5;5.5;17.4;12.9
28;12.0;5.5;9.8;5.5
29;5.5;5.6;6.3;3.1
30;5.5;5.6;9.1;7.0
