ƒень;—р.зн.;норма;max;min
1;15.5;12.2;16.6;12.6
2;15.5;12.3;16.3;11.7
3;14.5;12.5;14.9;9.7
4;13.5;12.6;15.4;10.9
5;12.5;12.7;16.3;12.4
6;11.5;12.9;15.9;10.5
7;10.5;13.0;12.4;8.9
8;10.5;13.1;13.9;10.3
9;11.7;13.2;15.6;11.6
10;12.8;13.4;16.4;9.5
11;14.0;13.5;16.4;11.5
12;15.2;13.6;14.7;8.5
13;16.3;13.8;16.2;11.1
14;17.5;13.9;18.0;16.2
15;17.5;14.0;18.8;13.8
16;15.0;14.2;15.3;11.4
17;12.5;14.3;15.4;12.3
18;12.5;14.4;15.1;9.9
19;13.8;14.6;15.5;9.7
20;15.1;14.7;20.0;14.1
21;16.4;14.8;20.4;16.3
22;17.6;15.0;21.5;15.7
23;18.9;15.1;22.9;17.5
24;20.2;15.2;22.6;15.7
25;21.5;15.3;22.9;18.2
26;21.5;15.5;23.8;20.3
27;20.2;15.6;21.0;16.6
28;18.8;15.7;21.3;17.5
29;17.5;15.9;17.8;14.3
30;17.5;16.0;19.0;14.5
