Год;Абайская;Акмолинская;Актюбинская;Алматинская;Атырауская;ВКО;Жамбылская;Жетысу;ЗКО;Карагандинская;Костанайская;Кызылординская;Мангистауская;Павлодар;СКО;Туркестанская;Улытау
1979;36;38;40;39;34;32;45;60;28;40;34;29;32;34;28;34;28
1980;40;43;38;34;34;32;49;51;34;32;40;27;28;34;28;30;26
1981;30;29;34;34;30;30;40;51;29;50;34;23;28;34;40;40;22
1982;40;34;30;45;28;30;34;60;40;34;38;24;34;30;34;28;28
1983;45;34;30;30;24;32;35;60;28;38;34;32;30;44;40;34;24
1984;34;32;30;30;34;32;37;51;34;40;36;34;28;30;40;40;30
1985;40;39;34;34;30;34;36;42;32;38;34;55;28;40;34;40;28
1986;40;34;30;34;24;33;35;48;24;34;35;28;28;40;28;40;36
1987;53;30;28;40;28;31;43;40;30;34;40;28;32;40;28;40;38
1988;35;31;30;40;28;30;42;48;26;46;32;34;26;36;34;52;36
1989;34;31;30;30;24;29;34;44;26;28;34;29;28;40;40;46;30
1990;35;34;32;34;28;31;40;50;30;38;28;45;28;34;24;43;25
1991;28;40;34;34;28;30;32;42;30;39;28;50;24;32;25;52;28
1992;28;28;26;34;24;29;31;39;28;31;29;28;24;25;25;45;24
1993;32;34;33;28;34;28;30;46;29;28;34;33;28;29;30;26;27
1994;30;28;26;28;24;31;40;48;28;28;30;24;24;28;28;24;34
1995;28;34;26;28;28;28;28;32;26;28;34;34;24;32;24;41;30
1996;29;34;28;28;28;35;40;32;27;28;30;24;24;30;25;34;24
1997;40;28;26;34;27;29;40;48;30;28;34;26;32;30;30;40;30
1998;45;28;34;40;25;40;40;54;34;28;28;28;28;30;28;40;28
1999;34;34;28;40;24;28;33;40;28;25;28;24;34;37;28;30;26
2000;40;34;28;34;30;45;33;56;28;40;34;28;40;29;30;25;28
2001;40;28;34;34;30;40;40;28;34;36;28;26;28;28;34;40;24
2002;34;34;36;34;25;40;40;40;24;28;34;26;27;28;34;30;23
2003;34;28;24;28;24;29;35;40;32;28;31;30;24;26;24;34;24
2004;34;28;24;32;28;29;40;46;34;34;34;24;26;31;28;28;30
2005;34;35;28;32;23;40;40;52;23;28;40;24;28;26;25;27;28
2006;44;34;27;26;25;29;40;40;25;28;34;29;28;25;28;40;27
2007;34;34;28;32;24;40;34;40;28;34;40;34;25;30;39;25;28
2008;30;37;29;30;30;34;40;40;28;34;40;30;25;28;28;25;27
2009;40;34;28;32;28;29;34;40;32;26;28;25;22;28;32;29;24
2010;40;35;34;31;24;31;34;40;27;34;29;24;25;29;37;32;31
2011;34;32;28;33;24;33;36;40;28;25;31;26;28;28;29;40;24
2012;30;29;29;32;28;34;35;40;30;28;30;25;22;27;40;34;24
2013;28;35;28;27;28;33;46;35;28;34;34;25;26;30;32;28;29
2014;34;33;31;28;28;29;34;40;26;40;30;35;28;32;34;31;32
2015;35;36;34;29;24;33;40;39;26;28;32;30;28;30;31;30;31
2016;28;32;27;39;25;28;38;40;28;33;26;30;22;30;29;28;28
2017;40;34;29;35;23;40;36;36;28;31;29;37;22;33;37;35;28
2018;34;35;30;48;26;29;35;42;25;34;29;34;21;39;34;37;29
2019;34;30;28;35;24;28;35;48;28;28;29;38;21;30;38;28;40
2020;34;37;29;34;24;28;34;34;23;42;31;29;21;29;42;33;33
2021;34;33;28;39;28;28;38;42;25;33;34;25;24;32;33;34;28
2022;26;34;24;31;32;28;30;36;28;27;28;29;32;32;34;29;28
2023;34;34;28;34;30;34;38;36;26;32;28;29;26;36;36;28;28
2024;29;33;30;30;27;29;36;40;28;34;28;28;26;34;34;28;31
