Year;Казахстан
1961;86.07253521
1962;109.747651
1963;79.95897436
1964;55.32928994
1965;119.8868263
1966;138.6645695
1967;94.83603352
1968;94.47097701
1969;91.57962963
1970;76.13785311
1971;96.4075419
1972;73.346875
1973;92.5059322
1974;124.5950581
1975;139.9527624
1976;106.8292614
1977;123.2108187
1978;102.9677419
1979;100.7402703
1980;113.1708556
1981;111.2258152
1982;112.8585106
1983;132.5355615
1984;143.3140957
1985;103.1296791
1986;105.3873656
1987;136.3259563
1988;135.8807487
1989;130.1455556
1990;99.58558824
1991;121.2276119
1992;68.3735119
1993;76.6581761
1994;86.796875
1995;142.5872671
1996;126.3515823
1997;131.0385093
1998;195.0819767
1999;126.3027322
2000;142.0622951
2001;107.6726776
2002;109.2780749
2003;95.38521505
2004;118.5244681
2005;145.5704301
2006;138.6860963
2007;153.636631
2008;177.3659459
2009;88.22472826
2010;191.9986631
2011;146.5716578
2012;195.5858289
2013;106.4519022
2014;163.0050802
2015;178.9826203
2016;131.8098404
2017;162.5513369
2018;134.6681818
2019;153.9699454
2020;161.6252717
2021;229.2362903
2022;167.6794118
2023;199.0337912
2024;165.1945946
