Year;Казахстан
1961;168.9378882
1962;164.7878788
1963;161.3117647
1964;179.84
1965;167.3352601
1966;173.8
1967;166.4162162
1968;179.1639344
1969;172.0662983
1970;165.625
1971;160.0160428
1972;176.1129032
1973;170.3891892
1974;163.9784946
1975;169.0434783
1976;183.5659341
1977;160.1104972
1978;164.0376344
1979;164.0216216
1980;160.8663102
1981;159.8641304
1982;163.787234
1983;154.459893
1984;170.9574468
1985;173.8342246
1986;169.4623656
1987;172.4619565
1988;169.8235294
1989;167.9111111
1990;155.908046
1991;158.3529412
1992;175.0595238
1993;176.0062112
1994;162.5914634
1995;154.0481928
1996;179.1509434
1997;149.9018405
1998;172.1744186
1999;158.715847
2000;168.3169399
2001;151.6065574
2002;151.368984
2003;170.4623656
2004;155.8510638
2005;159
2006;152.1229947
2007;156.4438503
2008;154.7783784
2009;156.9021739
2010;154.6951872
2011;159.2406417
2012;156.144385
2013;146.576087
2014;166.7058824
2015;158.0427807
2016;151.3989362
2017;161.7219251
2018;162.6470588
2019;156.1311475
2020;156.1793478
2021;162.3548387
2022;150.315508
2023;137.8351648
2024;148.4972973
