Year;Казахстан
1961;2296.673239
1962;2415.618121
1963;2250.395833
1964;2099.171598
1965;2371.771557
1966;2421.543046
1967;2335.310615
1968;2234.233908
1969;2211.366049
1970;2274.656497
1971;2342.333799
1972;2145.964773
1973;2272.550282
1974;2484.278488
1975;2465.578729
1976;2310.046023
1977;2513.259942
1978;2318.987366
1979;2295.560541
1980;2359.663904
1981;2416.110598
1982;2485.528723
1983;2416.126738
1984;2376.544947
1985;2286.276471
1986;2325.768817
1987;2313.112568
1988;2429.410963
1989;2381.027778
1990;2437.888235
1991;2523.675746
1992;2070.492857
1993;2155.515094
1994;2364.39
1995;2578.213665
1996;2312.288291
1997;2672.49441
1998;2527.119767
1999;2464.760656
2000;2421.312295
2001;2454.757377
2002;2370.97754
2003;2371.155108
2004;2504.472872
2005;2607.585215
2006;2552.439572
2007;2527.376738
2008;2639.053514
2009;2358.053533
2010;2585.101604
2011;2565.650802
2012;2804.439037
2013;2493.003804
2014;2437.148396
2015;2546.559893
2016;2570.3
2017;2546.538503
2018;2419.946791
2019;2517.351366
2020;2617.410598
2021;2654.223656
2022;2700.829679
2023;2744.543956
2024;2617.242162
