Year;Казахстан
1961;195.7605634
1962;208.9932886
1963;207.3589744
1964;183.1656805
1965;203.1437126
1966;200.7682119
1967;209.5307263
1968;195.454023
1969;195.8333333
1970;206.8248588
1971;205.2849162
1972;196.7386364
1973;196.1242938
1974;211.6918605
1975;199.7513812
1976;182.2670455
1977;206.4035088
1978;204.1451613
1979;195.0702703
1980;202.6791444
1981;208.0163043
1982;199.7340426
1983;215.6470588
1984;197.3882979
1985;190.4331551
1986;201.6612903
1987;181.3005464
1988;202.1550802
1989;200.35
1990;204.8235294
1991;205.3059701
1992;203.3392857
1993;196.2578616
1994;201.775
1995;217.5217391
1996;187.221519
1997;219.1987578
1998;199.005814
1999;206.3497268
2000;198.0218579
2001;212.9836066
2002;208.8930481
2003;198.9731183
2004;204.287234
2005;212.7956989
2006;214.2513369
2007;214.802139
2008;221.1567568
2009;212.3532609
2010;215.0374332
2011;206.9358289
2012;214.6631016
2013;221.2608696
2014;203.0748663
2015;201.8235294
2016;203.8829787
2017;199.3743316
2018;201.3796791
2019;213.7377049
2020;217.2391304
2021;207.1236559
2022;210.1497326
2023;228.3406593
2024;217.8054054
