Year;Казахстан
1961;6249.517606
1962;6132.978523
1963;6064.624679
1964;6770.868343
1965;6215.506587
1966;6333.263907
1967;6337.132123
1968;6555.764368
1969;7023.915432
1970;6448.355085
1971;6208.072905
1972;6931.091477
1973;6249.098023
1974;6554.465116
1975;6182.735359
1976;6881.422727
1977;6330.930117
1978;6303.862366
1979;6368.391351
1980;6462.274332
1981;6048.319293
1982;6196.2625
1983;5767.496524
1984;6875.135106
1985;6543.233422
1986;6403.066129
1987;6511.994262
1988;6270.413636
1989;6102.676667
1990;6033.174706
1991;6161.00597
1992;6432.02381
1993;6720.867925
1994;6404.53625
1995;5891.316149
1996;6700.731962
1997;5908.910559
1998;6381.166279
1999;6034.551093
2000;6148.102732
2001;6031.806011
2002;5830.412834
2003;6239.883333
2004;5870.081117
2005;5997.814247
2006;5994.114973
2007;5894.459091
2008;5986.383514
2009;6159.917663
2010;6159.966043
2011;6424.687968
2012;6356.119786
2013;5703.81413
2014;6372.81631
2015;5871.997594
2016;5908.590426
2017;5966.583155
2018;6395.28984
2019;5904.322678
2020;5768.547554
2021;5945.427688
2022;5814.161872
2023;5526.06456
2024;5811.683514
