Year;Казахстан
1961;4.98019802
1962;8.253424658
1963;6.2
1964;3.95049505
1965;8.608433735
1966;7.582781457
1967;5.550632911
1968;7.283950617
1969;5.579710145
1970;4.640522876
1971;7.361842105
1972;6.541176471
1973;5.041420118
1974;11.77906977
1975;7.845303867
1976;5.900584795
1977;7.631578947
1978;6.581005587
1979;6.516304348
1980;9.165775401
1981;6.49726776
1982;9.636363636
1983;9.427807487
1984;7.842391304
1985;7.306451613
1986;5.944444444
1987;10.13114754
1988;7.689839572
1989;9.101123596
1990;6.107142857
1991;9.507462687
1992;5.335664336
1993;5.351145038
1994;6.455223881
1995;8.583850932
1996;8.057692308
1997;6.101265823
1998;16.71511628
1999;10
2000;9.81420765
2001;5.174698795
2002;8.711656442
2003;6.527607362
2004;6.053475936
2005;8.918918919
2006;6.86631016
2007;8.262032086
2008;9.264864865
2009;4.851612903
2010;9.625668449
2011;7.959537572
2012;13.26203209
2013;6.690789474
2014;8.711229947
2015;12.43315508
2016;9.659090909
2017;9.344086022
2018;10.33714286
2019;11.57923497
2020;11.69565217
2021;11.56989247
2022;10.30481283
2023;15.52197802
2024;12.3027027
