ƒень;—р.зн.;норма;max;min
1;4.1;8.5;8.9;-1.4
2;3.4;8.5;9.1;-0.3
3;2.9;3.5;8.5;-2.3
4;3.6;3.5;10.6;-2.6
5;4.8;8.5;10.6;-0.3
6;4.9;8.5;10.2;1.3
7;2.6;7.5;6.5;-1.6
8;1.9;6.5;5.9;-3.0
9;5.0;5.5;9.1;0.1
10;5.7;4.5;9.0;1.6
11;3.5;3.5;5.6;1.5
12;3.3;3.5;5.5;0.6
13;5.0;4.9;7.5;1.9
14;6.9;6.2;10.0;2.9
15;5.1;7.6;8.7;2.2
16;6.7;9.0;10.3;4.0
17;8.8;10.3;11.2;6.2
18;10.9;11.7;12.2;7.9
19;13.0;13.0;14.8;10.7
20;11.6;14.4;13.5;9.2
21;12.9;15.8;16.3;9.6
22;16.9;17.1;18.6;14.3
23;19.5;18.5;21.1;16.7
24;17.6;18.5;20.6;12.3
25;17.0;18.5;19.1;13.8
26;14.6;18.5;18.9;12.6
27;8.8;13.0;13.6;5.0
28;5.1;7.5;8.5;2.1
29;7.9;7.5;9.3;6.2
30;10.8;12.5;12.4;9.4
