ƒень;—р.зн.;норма;max;min
1;11.5;9.6;9.5;1.7
2;11.5;9.7;12.1;1.1
3;9.0;9.9;12.4;1.6
4;6.5;10.0;9.9;-1.4
5;6.5;10.1;11.7;-0.9
6;13.5;10.2;12.9;2.7
7;13.5;10.4;10.4;-1.3
8;10.2;10.5;8.9;-2.1
9;6.8;10.6;6.7;-1.0
10;3.5;10.7;5.0;-1.1
11;3.5;10.9;3.8;1.1
12;6.3;11.0;7.2;0.5
13;9.0;11.1;11.2;-1.4
14;11.8;11.3;12.1;5.3
15;14.5;11.4;15.2;5.0
16;14.5;11.5;13.7;0.5
17;11.0;11.6;11.6;0.7
18;7.5;11.8;8.0;-2.1
19;7.5;11.9;8.9;-4.5
20;13.0;12.0;12.3;3.4
21;18.5;12.2;16.7;7.8
22;18.5;12.3;18.4;6.1
23;16.0;12.4;15.8;5.0
24;13.5;12.5;13.8;5.1
25;13.5;12.7;18.2;10.3
26;22.5;12.8;22.7;10.4
27;22.5;12.9;22.3;8.3
28;19.5;13.0;20.6;6.8
29;16.5;13.2;16.8;6.3
30;16.5;13.3;16.2;5.3
