ƒень;—р.зн.;норма;max;min
1;11.5;10.2;12.0;8.9
2;11.5;10.3;11.1;8.1
3;9.0;10.3;8.7;3.6
4;6.5;10.4;8.0;4.4
5;6.5;10.4;8.5;5.6
6;7.0;10.5;8.4;4.4
7;7.6;10.5;8.5;5.5
8;8.1;10.6;7.9;5.1
9;8.7;10.6;9.7;5.8
10;9.2;10.7;9.5;7.1
11;9.8;10.7;8.1;5.1
12;10.3;10.8;9.5;4.5
13;10.9;10.8;9.9;6.8
14;11.4;10.9;11.1;9.9
15;12.0;10.9;11.2;7.5
16;12.5;11.0;11.1;7.8
17;12.5;11.0;12.6;10.8
18;13.8;11.1;16.2;11.7
19;15.2;11.1;15.0;12.8
20;16.5;11.2;14.6;12.5
21;17.8;11.2;16.4;13.8
22;19.2;11.3;19.0;16.4
23;20.5;11.3;20.7;14.6
24;20.5;11.4;18.6;11.6
25;17.2;11.4;18.3;9.0
26;13.8;11.5;15.9;11.2
27;10.5;11.5;12.6;8.0
28;10.5;11.6;8.1;4.6
29;11.5;11.6;10.4;8.8
30;12.5;11.7;12.7;10.6
