ƒень;—р.зн.;норма;max;min
1;-5.5;-0.6;-2.1;-13.0
2;-5.5;-0.3;-1.4;-11.5
3;-3.5;0.1;-3.6;-10.7
4;-1.5;0.4;-2.5;-9.2
5;0.5;0.8;0.2;-7.7
6;0.5;1.1;0.7;-6.7
7;-1.3;1.4;-0.6;-5.0
8;-3.0;1.8;-5.5;-8.4
9;-4.8;2.1;-5.7;-12.1
10;-6.5;2.4;-6.1;-13.3
11;-6.5;2.8;-5.5;-13.6
12;-3.8;3.1;-2.8;-10.8
13;-1.0;3.5;0.8;-5.1
14;1.8;3.8;3.4;-3.4
15;4.5;4.1;4.3;-5.5
16;4.5;4.5;5.0;-0.7
17;5.2;4.8;3.2;-4.7
18;5.9;5.1;3.9;-3.4
19;6.6;5.5;3.9;-3.9
20;7.4;5.8;5.6;-1.8
21;8.1;6.2;10.1;-0.9
22;8.8;6.5;10.9;0.2
23;9.5;6.8;9.8;0.5
24;9.5;7.2;10.1;1.2
25;12.8;7.5;13.5;1.3
26;16.2;7.8;16.4;1.4
27;19.5;8.2;18.6;2.3
28;19.5;8.5;20.2;4.8
29;17.0;8.9;17.9;4.6
30;14.5;9.2;14.4;4.8
