ƒень;—р.зн.;норма;max;min
1;0.5;4.1;4.5;-2.5
2;0.5;4.3;4.3;-0.8
3;3.2;4.4;4.7;-3.1
4;5.8;4.6;8.1;-1.8
5;8.5;4.7;11.6;-0.1
6;8.5;4.9;9.5;-0.8
7;7.3;5.1;3.8;-5.0
8;6.2;5.2;3.3;-3.3
9;5.0;5.4;6.1;-1.5
10;3.8;5.5;4.9;-0.4
11;2.7;5.7;4.5;-1.3
12;1.5;5.8;3.2;-0.5
13;1.5;6.0;4.1;0.7
14;3.1;6.2;6.2;2.6
15;4.7;6.3;7.6;1.4
16;6.3;6.5;7.1;2.0
17;7.9;6.6;10.0;4.0
18;9.5;6.8;11.7;7.1
19;11.1;7.0;14.7;9.7
20;12.7;7.1;14.2;10.9
21;14.3;7.3;14.4;11.2
22;15.9;7.4;17.3;13.3
23;17.5;7.6;19.1;13.7
24;17.5;7.7;19.2;13.3
25;14.8;7.9;18.2;13.8
26;12.0;8.1;19.5;16.6
27;9.3;8.2;15.1;8.8
28;6.5;8.4;8.8;2.9
29;6.5;8.5;7.7;2.8
30;11.5;8.7;12.2;8.9
