ƒень;—р.зн.;норма;max;min
1;2.5;5.2;3.1;-3.5
2;2.5;5.3;1.8;-2.1
3;-2.5;5.3;1.0;-2.6
4;-2.5;5.4;2.6;-2.6
5;4.5;5.5;5.1;-1.7
6;4.5;5.5;1.7;-2.5
7;0.5;5.6;-4.7;-6.8
8;-3.5;5.7;-1.7;-4.5
9;-3.5;5.8;-0.5;-3.4
10;-3.5;5.8;-1.7;-5.8
11;-2.2;5.9;-1.2;-4.3
12;-0.9;6.0;0.8;-1.9
13;0.4;6.0;3.1;-0.4
14;1.6;6.1;4.4;2.6
15;2.9;6.2;5.9;1.9
16;4.2;6.2;5.4;2.9
17;5.5;6.3;6.5;2.9
18;5.5;6.4;7.3;4.4
19;10.0;6.4;10.0;7.1
20;14.5;6.5;14.2;9.6
21;14.5;6.6;13.4;11.0
22;12.0;6.6;13.4;9.3
23;9.5;6.7;10.0;6.6
24;9.5;6.8;12.2;7.6
25;15.0;6.9;16.8;13.8
26;20.5;6.9;21.0;14.8
27;20.5;7.0;21.4;18.1
28;16.8;7.1;15.6;11.5
29;13.2;7.1;12.1;9.6
30;9.5;7.2;10.2;7.2
