ƒень;—р.зн.;норма;max;min
1;5.5;7.4;8.4;1.4
2;5.5;7.5;9.3;2.2
3;8.0;7.6;10.9;2.8
4;10.5;7.8;9.7;3.9
5;10.5;7.9;12.1;5.1
6;9.6;8.0;9.1;6.0
7;8.8;8.1;7.9;0.1
8;7.9;8.2;7.3;1.0
9;7.0;8.4;8.0;1.2
10;6.1;8.5;7.2;-1.3
11;5.3;8.6;3.9;-1.5
12;4.4;8.7;4.5;2.9
13;3.5;8.8;5.2;2.6
14;3.5;9.0;7.2;4.4
15;5.3;9.1;8.7;7.5
16;7.0;9.2;6.8;2.9
17;8.8;9.3;8.3;4.5
18;10.5;9.5;10.3;5.2
19;12.3;9.6;11.7;6.6
20;14.0;9.7;13.6;8.9
21;15.8;9.8;15.4;11.4
22;17.5;9.9;18.2;13.8
23;17.5;10.1;17.8;12.7
24;12.5;10.2;17.0;12.0
25;12.5;10.3;16.6;15.3
26;19.5;10.4;19.8;18.4
27;19.5;10.5;15.6;14.1
28;16.5;10.7;16.1;12.5
29;13.5;10.8;12.6;8.0
30;10.5;10.9;10.1;7.7
