Year;Казахстан
1961;30.04968944
1962;30.64242424
1963;21.75294118
1964;37.27428571
1965;29.28901734
1966;40.02285714
1967;38.13513514
1968;40.48087432
1969;60.57458564
1970;41.53804348
1971;33.6631016
1972;50.91935484
1973;28.87567568
1974;53.54301075
1975;25.93478261
1976;43.86813187
1977;44.66850829
1978;33.74731183
1979;28.64864865
1980;40.59358289
1981;27.29891304
1982;29.16489362
1983;11.65775401
1984;54.7287234
1985;34.27807487
1986;32.82795699
1987;32.91304348
1988;33.5026738
1989;21.70555556
1990;24.98850575
1991;32.31372549
1992;19.71428571
1993;39.41614907
1994;40.23170732
1995;28.53012048
1996;41.60377358
1997;33.01226994
1998;36.80232558
1999;25.27322404
2000;23.56830601
2001;30.09836066
2002;20.5026738
2003;29.74193548
2004;23.70212766
2005;30.77956989
2006;31.99465241
2007;22.63636364
2008;37.21081081
2009;29.91847826
2010;39.8342246
2011;43.27272727
2012;51.64171123
2013;18.86956522
2014;36.02673797
2015;19.36898396
2016;25.43085106
2017;22.68449198
2018;38.03743316
2019;22.72131148
2020;18.36413043
2021;27.34408602
2022;25.13368984
2023;22.75274725
2024;21.39459459
