Year;Казахстан
1961;6.453416149
1962;9.181818182
1963;6.629411765
1964;4.251428571
1965;10.09248555
1966;10.28571429
1967;8.351351351
1968;6.923497268
1969;7.193370166
1970;6.64673913
1971;8.631016043
1972;6.413978495
1973;7.881081081
1974;10.47849462
1975;12.14130435
1976;9.587912088
1977;9.944751381
1978;8.919354839
1979;9.324324324
1980;10.11764706
1981;11.625
1982;10.46276596
1983;12.98930481
1984;13.52659574
1985;9.919786096
1986;9.73655914
1987;13.86956522
1988;13.87165775
1989;12.35
1990;8.971264368
1991;12.07189542
1992;5.648809524
1993;7.695652174
1994;7.804878049
1995;13.76506024
1996;11.72955975
1997;11.85276074
1998;19.11046512
1999;11.58469945
2000;13.08743169
2001;9.491803279
2002;10.27807487
2003;8.166666667
2004;10.55319149
2005;13.61827957
2006;12.18181818
2007;14.16042781
2008;16.18918919
2009;7.293478261
2010;18.11229947
2011;14.09625668
2012;19.68983957
2013;10.27173913
2014;15.11229947
2015;17.01604278
2016;12.79787234
2017;14.54010695
2018;12.85026738
2019;14.69945355
2020;14.71195652
2021;20.74731183
2022;15.27807487
2023;18.87912088
2024;17.59459459
