Year;Казахстан
1961;42.5170068
1962;47.64968153
1963;36.56024096
1964;27.75144509
1965;49.82080925
1966;50.73856209
1967;39.9558011
1968;41.09770115
1969;38.75449102
1970;36.28248588
1971;41.10614525
1972;33.35795455
1973;37.76404494
1974;47.0862069
1975;53.2032967
1976;41.26404494
1977;50.93604651
1978;40.48924731
1979;38.02162162
1980;43.02139037
1981;43.21621622
1982;47.00531915
1983;42.77005348
1984;47.04255319
1985;39.94117647
1986;42.7688172
1987;44.28648649
1988;45.87765957
1989;46.46448087
1990;39.74576271
1991;46.21290323
1992;28.66091954
1993;28.79518072
1994;37.4382716
1995;51.20858896
1996;46.39634146
1997;49.76331361
1998;60.71098266
1999;45.5136612
2000;49.20765027
2001;43.63387978
2002;37.04812834
2003;38.69354839
2004;48.7712766
2005;50.24731183
2006;51.05347594
2007;53.89839572
2008;59.07567568
2009;36.76630435
2010;57.56149733
2011;47.67914439
2012;61.23529412
2013;41.80978261
2014;56.02139037
2015;55.46524064
2016;44.81914894
2017;54.34224599
2018;46.79144385
2019;50.07103825
2020;54.63586957
2021;67.72043011
2022;58.67914439
2023;57.11538462
2024;47.84324324
