Year;Казахстан
1961;4.598639456
1962;5.898089172
1963;9.427710843
1964;0.549132948
1965;1.485549133
1966;6.241830065
1967;7.226519337
1968;6.454022989
1969;1.826347305
1970;0.903954802
1971;4.234636872
1972;1.238636364
1973;3.651685393
1974;6.816091954
1975;4.901098901
1976;1.853932584
1977;6.372093023
1978;3.403225806
1979;2.113513514
1980;1.010695187
1981;3.210810811
1982;6.39893617
1983;7.106951872
1984;2.478723404
1985;0.561497326
1986;0.849462366
1987;2.908108108
1988;2.989361702
1989;1.786885246
1990;4.689265537
1991;15.32258065
1992;2.028735632
1993;5.114457831
1994;6.135802469
1995;13.06748466
1996;5.292682927
1997;15.70414201
1998;11.35260116
1999;11.49726776
2000;6.218579235
2001;14.73224044
2002;25.96791444
2003;12.08602151
2004;12.93085106
2005;12.71505376
2006;17.52941176
2007;18.4973262
2008;29.52432432
2009;6.902173913
2010;19.42245989
2011;9.86631016
2012;19.22994652
2013;17.52173913
2014;10.12299465
2015;12.34224599
2016;18.14361702
2017;10.06417112
2018;3.43315508
2019;15.01092896
2020;32.75543478
2021;24.94623656
2022;18.26203209
2023;32.52197802
2024;9.87027027
