Год;Абай;Акмолинская;Актобе;Алматинская;Атырау;Вко;Жамбыл;Жетысу;Зко;Карагандинская;Костанай;Кызылорда;Мангыстау;Павлодар;Ско;Туркестанская;Улытау;высота макс;сред высота снега
1971;114;75;50;70;65;94;28;125;83;49;58;14;11;56;49;109;60;125;65
1972;74;78;84;47;50;63;50;68;31;92;58;17;14;66;58;92;47;92;58
1973;89;93;70;99;59;67;48;85;44;78;110;23;15;79;93;102;71;110;72
1974;68;67;43;37;42;48;22;72;36;31;90;23;10;74;96;72;25;96;50
1975;83;81;54;88;39;66;25;87;28;41;77;15;11;78;106;64;30;106;57
1976;75;75;69;65;77;74;31;61;57;66;144;40;7;81;66;115;46;144;68
1977;62;84;28;56;22;93;18;64;42;34;68;9;16;94;71;30;54;94;50
1978;69;27;44;56;44;74;30;65;37;40;69;17;24;56;87;100;40;100;52
1979;85;68;77;86;17;75;27;67;82;53;106;8;7;65;124;92;30;124;63
1980;60;45;60;61;46;53;17;69;41;42;62;24;10;43;71;97;45;97;50
1981;64;45;68;82;21;69;18;69;32;41;44;10;5;30;30;65;43;82;43
1982;57;45;65;46;51;66;18;68;37;51;47;13;26;78;32;66;49;78;48
1983;44;79;99;40;48;51;26;40;35;35;80;13;14;94;61;61;22;99;50
1984;46;34;42;52;11;81;33;47;47;52;63;17;2;44;52;67;29;81;42
1985;104;52;71;93;54;100;39;100;78;36;88;15;13;78;81;107;22;107;66
1986;72;55;80;57;64;108;27;66;109;48;77;13;19;79;46;47;26;109;59
1987;104;53;83;99;59;71;22;75;110;56;76;19;11;70;62;54;33;110;62
1988;105;44;75;97;56;132;50;119;82;53;76;21;26;71;58;86;37;132;70
1989;75;68;132;66;78;72;42;52;87;69;82;18;13;44;62;105;26;132;64
1990;73;66;78;74;56;114;30;87;99;75;74;16;6;71;68;97;39;114;66
1991;73;69;76;70;42;127;47;75;55;62;71;28;19;65;53;82;48;127;62
1992;65;72;119;59;45;123;30;84;82;54;87;12;21;48;78;105;31;123;66
1993;96;113;150;86;80;111;35;72;89;71;85;20;12;42;53;142;36;150;76
1994;88;93;136;92;76;97;54;100;91;68;92;39;32;47;91;111;42;136;79
1995;45;53;69;48;48;84;31;56;53;46;70;8;15;54;65;81;22;84;50
1996;67;94;58;65;29;80;27;84;56;31;97;18;9;41;70;106;34;106;57
1997;86;89;140;92;75;120;20;115;77;53;103;15;13;49;77;82;36;140;73
1998;122;55;116;72;67;96;34;87;111;43;111;41;13;49;87;121;35;122;74
1999;79;102;88;96;17;136;30;124;36;39;113;12;6;46;99;69;15;136;65
2000;58;63;81;89;25;99;24;130;46;73;53;6;10;49;69;73;43;130;58
2001;110;87;117;67;39;124;28;113;40;72;92;28;5;62;104;95;50;124;72
2002;42;45;91;97;42;76;18;52;118;37;76;5;5;18;67;87;17;118;53
2003;133;44;64;75;43;98;27;97;44;43;88;26;14;41;63;87;27;133;60
2004;70;48;74;109;28;96;20;77;42;42;32;17;4;42;45;75;21;109;49
2005;44;84;77;105;51;93;105;89;61;37;85;18;10;34;66;188;24;188;69
2006;77;56;49;55;64;101;28;74;65;33;64;23;31;46;35;69;18;101;52
2007;80;91;137;39;34;69;19;58;24;65;84;9;10;69;75;71;40;137;57
2008;58;57;122;64;55;95;47;57;46;50;71;21;14;49;33;87;30;122;56
2009;77;89;37;83;30;83;23;65;31;37;45;21;30;64;28;98;21;98;51
2010;118;57;56;135;11;142;46;123;56;66;63;12;42;52;41;144;14;144;69
2011;65;91;62;73;18;118;22;91;50;42;54;14;14;63;57;80;40;118;56
2012;51;91;73;94;80;84;34;67;92;57;73;17;12;46;26;128;22;128;62
2013;101;108;96;93;25;167;37;89;75;70;86;12;15;104;61;77;35;167;74
2014;102;110;105;80;12;87;47;89;57;82;104;36;19;85;50;109;21;110;70
2015;79;122;71;80;19;108;24;67;41;53;51;6;12;122;81;92;29;122;62
2016;83;98;67;64;28;98;18;74;49;95;74;5;11;43;93;62;35;98;59
2017;92;113;89;129;29;161;41;79;81;68;86;19;25;134;55;123;32;161;80
2018;87;112;42;84;14;72;31;59;67;44;45;17;7;66;49;49;23;112;51
2019;92;96;45;87;19;127;24;92;86;46;62;13;10;47;60;92;31;127;61
2020;86;126;91;69;7;106;24;66;35;75;71;14;9;108;91;69;31;126;63
2021;89;118;71;75;18;97;23;85;53;50;79;10;4;94;132;69;27;132;64
2022;62;124;59;84;18;134;16;62;59;48;84;11;9;57;79;92;21;134;60
2023;86;99;66;82;19;144;18;76;37;64;63;7;7;59;87;135;27;144;63
2024;72;122;98;83;9;148;21;69;41;58;71;9;5;73;112;;27;148;64
2025;95;127;49;79;28;106;12;75;35;52;48;10;21;65;91;;30;127;58
